matric_number,full_name,email,department,level
24/BCH/002,Ngozi Adeyemi,ngozi.adeyemi.bch002@stu.maranatha.edu.ng,BCH,200
24/BCH/003,Tunde Nwosu,tunde.nwosu.bch003@stu.maranatha.edu.ng,BCH,200
23/BCH/004,Halima Musa,halima.musa.bch004@stu.maranatha.edu.ng,BCH,300
23/BCH/005,Babatunde Eze,babatunde.eze.bch005@stu.maranatha.edu.ng,BCH,300
23/BCH/006,Zainab Adebayo,zainab.adebayo.bch006@stu.maranatha.edu.ng,BCH,300
23/BCH/007,Obinna Bello,obinna.bello.bch007@stu.maranatha.edu.ng,BCH,300
22/BCH/008,Folake Nnaji,folake.nnaji.bch008@stu.maranatha.edu.ng,BCH,400
22/BCH/009,Femi Suleiman,femi.suleiman.bch009@stu.maranatha.edu.ng,BCH,400
22/BCH/010,Maryam Obiora,maryam.obiora.bch010@stu.maranatha.edu.ng,BCH,400
24/INF/001,Damilola Fasanya,damilola.fasanya.inf001@stu.maranatha.edu.ng,INF,200
24/INF/002,Adaeze Ogunwale,adaeze.ogunwale.inf002@stu.maranatha.edu.ng,INF,200
24/INF/003,Olumide Usman,olumide.usman.inf003@stu.maranatha.edu.ng,INF,200
23/INF/004,Funmilayo Adeleke,funmilayo.adeleke.inf004@stu.maranatha.edu.ng,INF,300
23/INF/005,Segun Nwofor,segun.nwofor.inf005@stu.maranatha.edu.ng,INF,300
23/INF/006,Ifeoma Aliyu,ifeoma.aliyu.inf006@stu.maranatha.edu.ng,INF,300
23/INF/007,Chinedu Olatunji,chinedu.olatunji.inf007@stu.maranatha.edu.ng,INF,300
22/INF/008,Blessing Onyekachi,blessing.onyekachi.inf008@stu.maranatha.edu.ng,INF,400
22/INF/009,Adekunle Okonkwo,adekunle.okonkwo.inf009@stu.maranatha.edu.ng,INF,400
22/INF/010,Eniola Nwachukwu,eniola.nwachukwu.inf010@stu.maranatha.edu.ng,INF,400
24/ICH/001,Yusuf Obi,yusuf.obi.ich001@stu.maranatha.edu.ng,ICH,200
24/ICH/002,Grace Ogundipe,grace.ogundipe.ich002@stu.maranatha.edu.ng,ICH,200
24/ICH/003,Olamide Bamidele,olamide.bamidele.ich003@stu.maranatha.edu.ng,ICH,200
23/ICH/004,Omolara Onuoha,omolara.onuoha.ich004@stu.maranatha.edu.ng,ICH,300
23/ICH/005,Ebuka Adeyinka,ebuka.adeyinka.ich005@stu.maranatha.edu.ng,ICH,300
23/ICH/006,Fatima Chukwuma,fatima.chukwuma.ich006@stu.maranatha.edu.ng,ICH,300
23/ICH/007,Ibrahim Lawal,ibrahim.lawal.ich007@stu.maranatha.edu.ng,ICH,300
22/ICH/008,Amaka Adeoti,amaka.adeoti.ich008@stu.maranatha.edu.ng,ICH,400
22/ICH/009,Emeka Mohammed,emeka.mohammed.ich009@stu.maranatha.edu.ng,ICH,400
22/ICH/010,Aisha Okoro,aisha.okoro.ich010@stu.maranatha.edu.ng,ICH,400
24/PHY/001,Uche Babangida,uche.babangida.phy001@stu.maranatha.edu.ng,PHY,200
24/PHY/002,Yetunde Ogbonna,yetunde.ogbonna.phy002@stu.maranatha.edu.ng,PHY,200
24/PHY/003,Adewale Anyanwu,adewale.anyanwu.phy003@stu.maranatha.edu.ng,PHY,200
23/PHY/004,Precious Ejiofor,precious.ejiofor.phy004@stu.maranatha.edu.ng,PHY,300
23/PHY/005,Chijioke Akpan,chijioke.akpan.phy005@stu.maranatha.edu.ng,PHY,300
23/PHY/006,Chidinma Bassey,chidinma.bassey.phy006@stu.maranatha.edu.ng,PHY,300
23/PHY/007,Kelechi Idris,kelechi.idris.phy007@stu.maranatha.edu.ng,PHY,300
22/PHY/008,Oluwabunmi Abdullahi,oluwabunmi.abdullahi.phy008@stu.maranatha.edu.ng,PHY,400
22/PHY/009,Nnamdi Tijani,nnamdi.tijani.phy009@stu.maranatha.edu.ng,PHY,400
22/PHY/010,Nkechi Olaleye,nkechi.olaleye.phy010@stu.maranatha.edu.ng,PHY,400
24/ECO/001,Abiodun Nwankwo,abiodun.nwankwo.eco001@stu.maranatha.edu.ng,ECO,200
24/ECO/002,Temitope Omotosho,temitope.omotosho.eco002@stu.maranatha.edu.ng,ECO,200
24/ECO/003,Tochukwu Salami,tochukwu.salami.eco003@stu.maranatha.edu.ng,ECO,200
23/ECO/004,Chiamaka Duru,chiamaka.duru.eco004@stu.maranatha.edu.ng,ECO,300
23/ECO/005,Olusegun Egbuna,olusegun.egbuna.eco005@stu.maranatha.edu.ng,ECO,300
23/ECO/006,Khadija Agu,khadija.agu.eco006@stu.maranatha.edu.ng,ECO,300
23/ECO/007,Ikenna Nweke,ikenna.nweke.eco007@stu.maranatha.edu.ng,ECO,300
22/ECO/008,Ifunanya Oyelaran,ifunanya.oyelaran.eco008@stu.maranatha.edu.ng,ECO,400
22/ECO/009,Obi Okechukwu,obi.okechukwu.eco009@stu.maranatha.edu.ng,ECO,400
22/ECO/010,Nneoma Okafor,nneoma.okafor.eco010@stu.maranatha.edu.ng,ECO,400
24/ACC/001,Chukwuemeka Adeyemi,chukwuemeka.adeyemi.acc001@stu.maranatha.edu.ng,ACC,200
24/ACC/002,Ngozi Nwosu,ngozi.nwosu.acc002@stu.maranatha.edu.ng,ACC,200
24/ACC/003,Tunde Musa,tunde.musa.acc003@stu.maranatha.edu.ng,ACC,200
23/ACC/004,Halima Eze,halima.eze.acc004@stu.maranatha.edu.ng,ACC,300
23/ACC/005,Babatunde Adebayo,babatunde.adebayo.acc005@stu.maranatha.edu.ng,ACC,300
23/ACC/006,Zainab Bello,zainab.bello.acc006@stu.maranatha.edu.ng,ACC,300
23/ACC/007,Obinna Nnaji,obinna.nnaji.acc007@stu.maranatha.edu.ng,ACC,300
22/ACC/008,Folake Suleiman,folake.suleiman.acc008@stu.maranatha.edu.ng,ACC,400
22/ACC/009,Femi Obiora,femi.obiora.acc009@stu.maranatha.edu.ng,ACC,400
22/ACC/010,Maryam Fasanya,maryam.fasanya.acc010@stu.maranatha.edu.ng,ACC,400
24/BUS/001,Damilola Ogunwale,damilola.ogunwale.bus001@stu.maranatha.edu.ng,BUS,200
24/BUS/002,Adaeze Usman,adaeze.usman.bus002@stu.maranatha.edu.ng,BUS,200
24/BUS/003,Olumide Adeleke,olumide.adeleke.bus003@stu.maranatha.edu.ng,BUS,200
23/BUS/004,Funmilayo Nwofor,funmilayo.nwofor.bus004@stu.maranatha.edu.ng,BUS,300
23/BUS/005,Segun Aliyu,segun.aliyu.bus005@stu.maranatha.edu.ng,BUS,300
23/BUS/006,Ifeoma Olatunji,ifeoma.olatunji.bus006@stu.maranatha.edu.ng,BUS,300
23/BUS/007,Chinedu Onyekachi,chinedu.onyekachi.bus007@stu.maranatha.edu.ng,BUS,300
22/BUS/008,Blessing Okonkwo,blessing.okonkwo.bus008@stu.maranatha.edu.ng,BUS,400
22/BUS/009,Adekunle Nwachukwu,adekunle.nwachukwu.bus009@stu.maranatha.edu.ng,BUS,400
22/BUS/010,Eniola Obi,eniola.obi.bus010@stu.maranatha.edu.ng,BUS,400
24/CSS/001,Yusuf Ogundipe,yusuf.ogundipe.css001@stu.maranatha.edu.ng,CSS,200
24/CSS/002,Grace Bamidele,grace.bamidele.css002@stu.maranatha.edu.ng,CSS,200
24/CSS/003,Olamide Onuoha,olamide.onuoha.css003@stu.maranatha.edu.ng,CSS,200
23/CSS/004,Omolara Adeyinka,omolara.adeyinka.css004@stu.maranatha.edu.ng,CSS,300
23/CSS/005,Ebuka Chukwuma,ebuka.chukwuma.css005@stu.maranatha.edu.ng,CSS,300
23/CSS/006,Fatima Lawal,fatima.lawal.css006@stu.maranatha.edu.ng,CSS,300
23/CSS/007,Ibrahim Adeoti,ibrahim.adeoti.css007@stu.maranatha.edu.ng,CSS,300
22/CSS/008,Amaka Mohammed,amaka.mohammed.css008@stu.maranatha.edu.ng,CSS,400
22/CSS/009,Emeka Okoro,emeka.okoro.css009@stu.maranatha.edu.ng,CSS,400
22/CSS/010,Aisha Babangida,aisha.babangida.css010@stu.maranatha.edu.ng,CSS,400
24/ENG/001,Uche Ogbonna,uche.ogbonna.eng001@stu.maranatha.edu.ng,ENG,200
24/ENG/002,Yetunde Anyanwu,yetunde.anyanwu.eng002@stu.maranatha.edu.ng,ENG,200
24/ENG/003,Adewale Ejiofor,adewale.ejiofor.eng003@stu.maranatha.edu.ng,ENG,200
23/ENG/004,Precious Akpan,precious.akpan.eng004@stu.maranatha.edu.ng,ENG,300
23/ENG/005,Chijioke Bassey,chijioke.bassey.eng005@stu.maranatha.edu.ng,ENG,300
23/ENG/006,Chidinma Idris,chidinma.idris.eng006@stu.maranatha.edu.ng,ENG,300
23/ENG/007,Kelechi Abdullahi,kelechi.abdullahi.eng007@stu.maranatha.edu.ng,ENG,300
22/ENG/008,Oluwabunmi Tijani,oluwabunmi.tijani.eng008@stu.maranatha.edu.ng,ENG,400
22/ENG/009,Nnamdi Olaleye,nnamdi.olaleye.eng009@stu.maranatha.edu.ng,ENG,400
22/ENG/010,Nkechi Nwankwo,nkechi.nwankwo.eng010@stu.maranatha.edu.ng,ENG,400
24/HIS/001,Abiodun Omotosho,abiodun.omotosho.his001@stu.maranatha.edu.ng,HIS,200
24/HIS/002,Temitope Salami,temitope.salami.his002@stu.maranatha.edu.ng,HIS,200
24/HIS/003,Tochukwu Duru,tochukwu.duru.his003@stu.maranatha.edu.ng,HIS,200
23/HIS/004,Chiamaka Egbuna,chiamaka.egbuna.his004@stu.maranatha.edu.ng,HIS,300
23/HIS/005,Olusegun Agu,olusegun.agu.his005@stu.maranatha.edu.ng,HIS,300
23/HIS/006,Khadija Nweke,khadija.nweke.his006@stu.maranatha.edu.ng,HIS,300
23/HIS/007,Ikenna Oyelaran,ikenna.oyelaran.his007@stu.maranatha.edu.ng,HIS,300
22/HIS/008,Ifunanya Okechukwu,ifunanya.okechukwu.his008@stu.maranatha.edu.ng,HIS,400
22/HIS/009,Obi Okafor,obi.okafor.his009@stu.maranatha.edu.ng,HIS,400
22/HIS/010,Nneoma Abubakar,nneoma.abubakar.his010@stu.maranatha.edu.ng,HIS,400
24/NRS/001,Chukwuemeka Nwosu,chukwuemeka.nwosu.nrs001@stu.maranatha.edu.ng,NRS,200
24/NRS/002,Ngozi Musa,ngozi.musa.nrs002@stu.maranatha.edu.ng,NRS,200
24/NRS/003,Tunde Eze,tunde.eze.nrs003@stu.maranatha.edu.ng,NRS,200
23/NRS/004,Halima Adebayo,halima.adebayo.nrs004@stu.maranatha.edu.ng,NRS,300
23/NRS/005,Babatunde Bello,babatunde.bello.nrs005@stu.maranatha.edu.ng,NRS,300
23/NRS/006,Zainab Nnaji,zainab.nnaji.nrs006@stu.maranatha.edu.ng,NRS,300
23/NRS/007,Obinna Suleiman,obinna.suleiman.nrs007@stu.maranatha.edu.ng,NRS,300
22/NRS/008,Folake Obiora,folake.obiora.nrs008@stu.maranatha.edu.ng,NRS,400
22/NRS/009,Femi Fasanya,femi.fasanya.nrs009@stu.maranatha.edu.ng,NRS,400
22/NRS/010,Maryam Ogunwale,maryam.ogunwale.nrs010@stu.maranatha.edu.ng,NRS,400
24/PHT/001,Damilola Usman,damilola.usman.pht001@stu.maranatha.edu.ng,PHT,200
24/PHT/002,Adaeze Adeleke,adaeze.adeleke.pht002@stu.maranatha.edu.ng,PHT,200
24/PHT/003,Olumide Nwofor,olumide.nwofor.pht003@stu.maranatha.edu.ng,PHT,200
23/PHT/004,Funmilayo Aliyu,funmilayo.aliyu.pht004@stu.maranatha.edu.ng,PHT,300
23/PHT/005,Segun Olatunji,segun.olatunji.pht005@stu.maranatha.edu.ng,PHT,300
23/PHT/006,Ifeoma Onyekachi,ifeoma.onyekachi.pht006@stu.maranatha.edu.ng,PHT,300
23/PHT/007,Chinedu Okonkwo,chinedu.okonkwo.pht007@stu.maranatha.edu.ng,PHT,300
22/PHT/008,Blessing Nwachukwu,blessing.nwachukwu.pht008@stu.maranatha.edu.ng,PHT,400
22/PHT/009,Adekunle Obi,adekunle.obi.pht009@stu.maranatha.edu.ng,PHT,400
22/PHT/010,Eniola Ogundipe,eniola.ogundipe.pht010@stu.maranatha.edu.ng,PHT,400
24/PBH/001,Yusuf Bamidele,yusuf.bamidele.pbh001@stu.maranatha.edu.ng,PBH,200
24/PBH/002,Grace Onuoha,grace.onuoha.pbh002@stu.maranatha.edu.ng,PBH,200
24/PBH/003,Olamide Adeyinka,olamide.adeyinka.pbh003@stu.maranatha.edu.ng,PBH,200
23/PBH/004,Omolara Chukwuma,omolara.chukwuma.pbh004@stu.maranatha.edu.ng,PBH,300
23/PBH/005,Ebuka Lawal,ebuka.lawal.pbh005@stu.maranatha.edu.ng,PBH,300
23/PBH/006,Fatima Adeoti,fatima.adeoti.pbh006@stu.maranatha.edu.ng,PBH,300
23/PBH/007,Ibrahim Mohammed,ibrahim.mohammed.pbh007@stu.maranatha.edu.ng,PBH,300
22/PBH/008,Amaka Okoro,amaka.okoro.pbh008@stu.maranatha.edu.ng,PBH,400
22/PBH/009,Emeka Babangida,emeka.babangida.pbh009@stu.maranatha.edu.ng,PBH,400
22/PBH/010,Aisha Ogbonna,aisha.ogbonna.pbh010@stu.maranatha.edu.ng,PBH,400
24/HIM/001,Uche Anyanwu,uche.anyanwu.him001@stu.maranatha.edu.ng,HIM,200
24/HIM/002,Yetunde Ejiofor,yetunde.ejiofor.him002@stu.maranatha.edu.ng,HIM,200
24/HIM/003,Adewale Akpan,adewale.akpan.him003@stu.maranatha.edu.ng,HIM,200
23/HIM/004,Precious Bassey,precious.bassey.him004@stu.maranatha.edu.ng,HIM,300
23/HIM/005,Chijioke Idris,chijioke.idris.him005@stu.maranatha.edu.ng,HIM,300
23/HIM/006,Chidinma Abdullahi,chidinma.abdullahi.him006@stu.maranatha.edu.ng,HIM,300
23/HIM/007,Kelechi Tijani,kelechi.tijani.him007@stu.maranatha.edu.ng,HIM,300
22/HIM/008,Oluwabunmi Olaleye,oluwabunmi.olaleye.him008@stu.maranatha.edu.ng,HIM,400
22/HIM/009,Nnamdi Nwankwo,nnamdi.nwankwo.him009@stu.maranatha.edu.ng,HIM,400
22/HIM/010,Nkechi Omotosho,nkechi.omotosho.him010@stu.maranatha.edu.ng,HIM,400
24/ARC/001,Abiodun Salami,abiodun.salami.arc001@stu.maranatha.edu.ng,ARC,200
24/ARC/002,Temitope Duru,temitope.duru.arc002@stu.maranatha.edu.ng,ARC,200
24/ARC/003,Tochukwu Egbuna,tochukwu.egbuna.arc003@stu.maranatha.edu.ng,ARC,200
23/ARC/004,Chiamaka Agu,chiamaka.agu.arc004@stu.maranatha.edu.ng,ARC,300
23/ARC/005,Olusegun Nweke,olusegun.nweke.arc005@stu.maranatha.edu.ng,ARC,300
23/ARC/006,Khadija Oyelaran,khadija.oyelaran.arc006@stu.maranatha.edu.ng,ARC,300
23/ARC/007,Ikenna Okechukwu,ikenna.okechukwu.arc007@stu.maranatha.edu.ng,ARC,300
22/ARC/008,Ifunanya Okafor,ifunanya.okafor.arc008@stu.maranatha.edu.ng,ARC,400
22/ARC/009,Obi Abubakar,obi.abubakar.arc009@stu.maranatha.edu.ng,ARC,400
22/ARC/010,Nneoma Adeyemi,nneoma.adeyemi.arc010@stu.maranatha.edu.ng,ARC,400
24/QUS/001,Chukwuemeka Musa,chukwuemeka.musa.qus001@stu.maranatha.edu.ng,QUS,200
24/QUS/002,Ngozi Eze,ngozi.eze.qus002@stu.maranatha.edu.ng,QUS,200
24/QUS/003,Tunde Adebayo,tunde.adebayo.qus003@stu.maranatha.edu.ng,QUS,200
23/QUS/004,Halima Bello,halima.bello.qus004@stu.maranatha.edu.ng,QUS,300
23/QUS/005,Babatunde Nnaji,babatunde.nnaji.qus005@stu.maranatha.edu.ng,QUS,300
23/QUS/006,Zainab Suleiman,zainab.suleiman.qus006@stu.maranatha.edu.ng,QUS,300
23/QUS/007,Obinna Obiora,obinna.obiora.qus007@stu.maranatha.edu.ng,QUS,300
22/QUS/008,Folake Fasanya,folake.fasanya.qus008@stu.maranatha.edu.ng,QUS,400
22/QUS/009,Femi Ogunwale,femi.ogunwale.qus009@stu.maranatha.edu.ng,QUS,400
22/QUS/010,Maryam Usman,maryam.usman.qus010@stu.maranatha.edu.ng,QUS,400
24/EST/001,Damilola Adeleke,damilola.adeleke.est001@stu.maranatha.edu.ng,EST,200
24/EST/002,Adaeze Nwofor,adaeze.nwofor.est002@stu.maranatha.edu.ng,EST,200
24/EST/003,Olumide Aliyu,olumide.aliyu.est003@stu.maranatha.edu.ng,EST,200
23/EST/004,Funmilayo Olatunji,funmilayo.olatunji.est004@stu.maranatha.edu.ng,EST,300
23/EST/005,Segun Onyekachi,segun.onyekachi.est005@stu.maranatha.edu.ng,EST,300
23/EST/006,Ifeoma Okonkwo,ifeoma.okonkwo.est006@stu.maranatha.edu.ng,EST,300
23/EST/007,Chinedu Nwachukwu,chinedu.nwachukwu.est007@stu.maranatha.edu.ng,EST,300
22/EST/008,Blessing Obi,blessing.obi.est008@stu.maranatha.edu.ng,EST,400
22/EST/009,Adekunle Ogundipe,adekunle.ogundipe.est009@stu.maranatha.edu.ng,EST,400
22/EST/010,Eniola Bamidele,eniola.bamidele.est010@stu.maranatha.edu.ng,EST,400
